"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"313970 MARAVILHAS";"0";"0";"0";"0";"2,78";"38,10";"0";"133,33";"93,40";"49,53";"114,13";"107,50";"116,50";"113,19";"90,65";"98,08";"97,12";"110,58";"76,92";"132,95";"124,00";"102,38";"115,19";"106,33";"101,18";"113,43";"104,48";"81,78"
"313980 MAR DE ESPANHA";"0";"0";"0";"0";"0";"58,54";"0";"79,10";"50,00";"21,08";"97,76";"89,40";"101,43";"103,60";"105,11";"118,03";"131,97";"145,90";"115,57";"116,30";"78,32";"115,18";"99,34";"90,07";"127,74";"92,90";"88,17";"79,78"
"313990 MARIA DA FE";"0";"0";"0";"0";"0";"32,82";"9,12";"29,68";"30,18";"7,67";"103,24";"92,09";"115,38";"89,85";"111,49";"102,84";"67,61";"101,14";"85,23";"159,28";"137,58";"98,98";"108,20";"88,52";"119,28";"92,11";"60,53";"65,81"
"314000 MARIANA";"0";"0";"0";"0";"0";"63,47";"51,28";"99,54";"59,46";"7,60";"72,56";"102,85";"82,31";"74,22";"93,85";"96,13";"98,91";"94,43";"84,62";"100,36";"101,33";"100,99";"102,75";"87,75";"90,69";"88,60";"82,23";"76,47"
"314010 MARILAC";"0";"0";"0";"0";"0";"56,82";"24,24";"53,06";"47,96";"31,63";"102,56";"124,29";"141,82";"103,51";"122,92";"100,00";"112,77";"121,28";"125,53";"136,21";"118,87";"107,41";"76,19";"96,83";"116,00";"94,12";"66,67";"71,79"
"314015 MARIO CAMPOS";"0";"0";"0";"0";"0";"82,82";"40,51";"116,38";"105,37";"42,86";"142,47";"196,51";"171,97";"124,24";"113,07";"155,49";"101,65";"106,04";"122,53";"116,50";"108,91";"76,89";"110,53";"98,56";"106,13";"119,23";"99,04";"98,65"
"314020 MARIPA DE MINAS";"0";"0";"0";"0";"0";"58,70";"0";"120,59";"85,71";"20,00";"145,00";"87,88";"108,57";"157,14";"126,47";"151,85";"151,85";"200,00";"118,52";"185,71";"234,62";"86,21";"150,00";"127,27";"70,59";"96,88";"109,38";"97,68"
"314030 MARLIERIA";"0";"0";"0";"0";"0";"70,13";"11,54";"78,87";"45,83";"24,66";"117,14";"116,07";"88,24";"96,23";"96,36";"148,57";"134,29";"177,14";"120,00";"71,43";"87,72";"108,89";"134,78";"89,13";"94,74";"122,22";"104,44";"78,30"
"314040 MARMELOPOLIS";"0";"0";"0";"0";"0";"18,42";"37,66";"29,09";"112,73";"1,79";"130,77";"122,73";"83,72";"102,86";"80,00";"123,53";"105,88";"79,41";"88,24";"136,11";"87,50";"80,65";"133,33";"120,00";"111,11";"112,82";"89,74";"70,35"
"314050 MARTINHO CAMPOS";"0";"0";"0";"0";"80,57";"48,54";"87,13";"60,49";"58,25";"16,02";"83,44";"81,92";"102,99";"108,40";"106,99";"79,75";"103,07";"82,21";"80,98";"129,66";"83,66";"121,71";"100,00";"97,26";"126,97";"100,65";"69,68";"80,00"
"314053 MARTINS SOARES";"0";"0";"0";"0";"0";"158,11";"70,27";"77,98";"73,21";"4,35";"96,26";"76,34";"87,60";"76,00";"76,24";"85,71";"64,71";"90,76";"107,56";"131,07";"110,94";"100,00";"59,15";"40,85";"88,57";"107,27";"108,18";"79,40"
"314055 MATA VERDE";"0";"0";"0";"0";"0";"0";"60,38";"53,01";"105,35";"16,84";"103,23";"98,37";"138,46";"141,75";"66,12";"161,36";"123,86";"143,18";"114,77";"141,57";"135,14";"106,33";"161,40";"171,93";"137,80";"79,55";"27,27";"82,62"
"314060 MATERLANDIA";"0";"0";"0";"0";"0";"0";"7,08";"65,77";"30,36";"67,26";"80,60";"81,08";"78,87";"85,71";"145,83";"60,00";"100,00";"95,38";"98,46";"122,03";"106,90";"73,81";"167,65";"144,12";"123,40";"74,19";"64,52";"64,35"
"314070 MATEUS LEME";"0";"0";"0";"0";"0";"39,74";"15,74";"81,28";"64,24";"11,76";"78,68";"119,09";"147,59";"102,62";"99,21";"108,73";"98,59";"99,72";"111,55";"97,86";"105,41";"98,31";"95,38";"85,92";"93,79";"80,18";"33,04";"76,39"
"314080 MATIAS BARBOSA";"0";"0";"0";"0";"0";"30,64";"30,00";"39,82";"41,26";"24,00";"107,91";"112,33";"94,44";"95,12";"88,89";"101,48";"97,78";"109,63";"108,15";"101,26";"103,05";"91,14";"95,54";"69,43";"103,33";"110,08";"96,90";"69,67"
"314085 MATIAS CARDOSO";"0";"0";"0";"0";"0";"17,34";"65,02";"29,82";"72,17";"2,91";"47,28";"131,06";"110,06";"222,11";"110,32";"114,00";"93,33";"112,67";"94,00";"100,79";"110,61";"117,27";"79,73";"100,68";"86,51";"123,76";"71,29";"71,88"
"314090 MATIPO";"0";"0";"0";"0";"0";"163,20";"66,77";"242,20";"148,00";"12,40";"301,36";"178,77";"177,42";"84,76";"107,24";"70,19";"91,03";"77,88";"99,36";"122,22";"73,31";"49,82";"38,08";"90,38";"82,73";"76,41";"55,81";"104,89"
"314100 MATO VERDE";"0";"0";"0";"0";"0";"38,20";"48,70";"167,91";"96,24";"0,54";"87,38";"109,52";"130,43";"145,33";"106,21";"153,42";"111,64";"132,88";"136,30";"71,52";"141,94";"88,39";"69,77";"80,23";"83,10";"82,98";"96,45";"84,67"
"314110 MATOZINHOS";"0";"0";"0";"0";"0";"1,05";"16,55";"38,57";"63,01";"36,81";"97,97";"112,02";"106,70";"106,32";"112,50";"99,39";"107,77";"112,47";"119,84";"106,23";"110,44";"84,82";"86,55";"68,32";"93,60";"74,30";"34,86";"72,30"
"314120 MATUTINA";"0";"0";"0";"0";"56,25";"64,58";"118,37";"135,42";"83,33";"12,50";"151,16";"126,32";"121,95";"122,22";"88,64";"100,00";"97,73";"95,45";"109,09";"122,86";"183,33";"129,03";"58,97";"76,92";"160,00";"75,00";"79,17";"94,88"
"314130 MEDEIROS";"0";"0";"0";"0";"0";"121,54";"135,38";"309,62";"107,69";"30,19";"67,57";"164,29";"184,62";"150,00";"86,11";"170,83";"150,00";"150,00";"137,50";"118,75";"77,14";"111,11";"148,15";"144,44";"104,88";"104,76";"35,71";"108,75"
"314140 MEDINA";"0";"0";"0";"0";"0";"0";"0";"41,18";"65,53";"30,64";"122,37";"125,93";"85,98";"99,14";"97,94";"300,98";"226,47";"273,53";"265,69";"118,56";"60,36";"77,78";"85,88";"81,57";"93,12";"83,60";"88,00";"71,79"
"314150 MENDES PIMENTEL";"0";"0";"0";"0";"0";"75,00";"0";"58,25";"22,55";"33,00";"61,29";"72,73";"93,94";"115,25";"104,84";"97,01";"89,55";"85,07";"74,63";"90,00";"94,74";"63,49";"86,67";"96,67";"110,71";"82,43";"68,92";"61,61"
"314160 MERCES";"0";"0";"0";"0";"0";"12,42";"121,88";"90,91";"85,06";"37,01";"160,34";"121,88";"78,76";"90,27";"100,00";"93,40";"83,96";"94,34";"101,89";"92,52";"82,22";"93,88";"70,80";"81,42";"110,26";"99,01";"65,35";"78,15"
"314170 MESQUITA";"0";"0";"0";"0";"0";"77,69";"48,74";"58,82";"77,45";"53,47";"62,92";"84,21";"115,07";"101,23";"111,84";"111,94";"105,97";"101,49";"97,01";"162,71";"115,49";"146,67";"114,29";"130,36";"90,91";"108,77";"112,28";"82,17"
"314180 MINAS NOVAS";"0";"0";"0";"0";"0";"0";"1,65";"74,69";"86,46";"64,47";"107,68";"75,78";"97,96";"145,29";"108,71";"135,54";"92,31";"107,69";"92,31";"93,35";"100,00";"100,00";"72,16";"63,17";"81,94";"70,35";"74,13";"68,60"
"314190 MINDURI";"0";"0";"0";"0";"0";"290,91";"0";"70,18";"112,28";"21,05";"64,06";"134,69";"135,90";"119,44";"94,23";"100,00";"116,33";"73,47";"102,04";"105,88";"67,31";"90,00";"100,00";"82,86";"145,16";"84,78";"73,91";"87,88"
"314200 MIRABELA";"0";"0";"0";"0";"0";"62,87";"724,57";"146,90";"129,07";"46,93";"64,49";"109,64";"120,20";"123,12";"64,19";"115,90";"90,26";"70,26";"82,56";"117,06";"88,95";"82,93";"63,79";"80,46";"106,37";"98,91";"53,80";"111,94"
"314210 MIRADOURO";"0";"0";"0";"0";"0";"0";"19,08";"97,52";"78,12";"33,12";"50,31";"115,49";"161,18";"101,40";"137,62";"97,39";"93,04";"88,70";"90,43";"83,64";"85,71";"204,88";"150,68";"115,07";"118,46";"104,35";"156,52";"75,29"
"314220 MIRAI";"0";"0";"0";"0";"0";"81,14";"15,28";"80,29";"86,54";"0";"86,39";"119,77";"88,73";"83,82";"102,87";"100,00";"88,44";"75,14";"66,47";"104,10";"65,16";"116,07";"73,79";"90,34";"126,02";"88,39";"76,13";"69,00"
"314225 MIRAVANIA";"0";"0";"0";"0";"72,65";"70,59";"95,08";"110,98";"96,39";"0";"100,00";"129,27";"204,65";"103,64";"106,41";"169,23";"164,10";"200,00";"197,44";"122,41";"116,07";"116,28";"118,52";"100,00";"83,08";"72,55";"80,39";"96,50"
"314230 MOEDA";"0";"0";"0";"0";"0";"70,24";"17,44";"65,00";"108,20";"45,90";"193,33";"114,55";"123,08";"129,55";"98,31";"140,00";"110,91";"105,45";"110,91";"106,25";"150,00";"176,92";"119,30";"100,00";"131,71";"148,78";"124,39";"93,28"
"314240 MOEMA";"0";"0";"0";"0";"0";"79,53";"65,38";"87,50";"95,24";"8,41";"109,00";"81,82";"148,61";"91,89";"108,54";"83,52";"131,87";"117,58";"97,80";"118,46";"97,50";"92,50";"126,67";"89,33";"87,80";"110,77";"96,92";"83,39"
"314250 MONJOLOS";"0";"0";"0";"0";"102,00";"65,31";"10,42";"72,73";"97,73";"76,74";"121,05";"127,27";"120,59";"113,33";"145,83";"176,00";"104,00";"84,00";"120,00";"115,79";"123,81";"95,83";"120,00";"130,00";"118,52";"75,00";"89,29";"92,13"
"314260 MONSENHOR PAULO";"0";"0";"0";"0";"0";"72,88";"40,52";"97,66";"55,04";"6,15";"122,22";"104,55";"104,08";"222,00";"149,25";"147,69";"101,54";"130,77";"170,77";"101,11";"101,11";"95,24";"118,52";"100,00";"112,05";"127,38";"104,76";"88,25"
"314270 MONTALVANIA";"0";"0";"0";"0";"0";"28,39";"118,72";"135,96";"126,90";"0";"32,09";"108,89";"101,58";"94,20";"120,25";"138,14";"98,60";"116,74";"91,63";"182,30";"138,43";"147,01";"122,11";"98,99";"92,72";"83,92";"77,89";"86,51"
"314280 MONTE ALEGRE DE MINAS";"0";"0";"0";"0";"51,52";"65,57";"86,76";"90,65";"55,45";"27,73";"93,37";"107,04";"113,87";"94,94";"127,96";"109,62";"105,29";"110,58";"123,08";"62,65";"70,42";"102,88";"59,76";"93,09";"82,26";"72,40";"47,67";"76,41"
"314290 MONTE AZUL";"0";"0";"0";"0";"0";"52,63";"85,87";"71,28";"90,37";"26,34";"80,12";"87,97";"107,78";"120,88";"95,91";"97,49";"89,61";"95,34";"95,70";"103,53";"126,72";"71,85";"76,10";"66,91";"90,71";"101,75";"61,57";"75,28"
"314300 MONTE BELO";"0";"0";"0";"0";"0";"68,58";"77,38";"71,84";"65,85";"5,39";"78,79";"99,43";"118,01";"100,60";"108,78";"96,60";"98,64";"70,75";"79,59";"86,13";"85,71";"84,62";"107,76";"117,24";"92,31";"108,63";"85,61";"74,15"
"314310 MONTE CARMELO";"0";"0";"0";"0";"26,06";"110,50";"86,50";"108,31";"71,01";"5,26";"86,19";"99,70";"97,50";"104,42";"99,08";"96,56";"87,38";"95,41";"88,85";"125,09";"149,58";"109,49";"82,21";"77,88";"100,00";"89,40";"86,59";"84,29"
"314315 MONTE FORMOSO";"0";"0";"0";"0";"0";"0";"66,67";"38,89";"80,00";"24,49";"150,00";"102,06";"113,68";"140,79";"116,25";"147,76";"117,91";"120,90";"86,57";"103,45";"80,00";"92,73";"173,81";"180,95";"89,23";"100,00";"113,33";"79,70"
"314320 MONTE SANTO DE MINAS";"0";"0";"0";"0";"73,02";"72,77";"44,16";"72,65";"77,78";"22,32";"84,01";"119,09";"105,73";"105,31";"85,71";"111,06";"99,12";"98,67";"87,17";"116,92";"128,30";"79,28";"98,16";"92,17";"105,88";"122,49";"46,41";"79,91"
"314330 MONTES CLAROS";"0";"0";"0";"0";"0";"48,60";"40,49";"106,38";"84,75";"5,46";"71,73";"114,92";"99,74";"100,52";"105,46";"92,99";"84,14";"94,85";"85,03";"82,42";"100,07";"107,40";"77,63";"69,02";"85,34";"76,38";"41,85";"73,89"
"314340 MONTE SIAO";"0";"0";"0";"0";"0";"150,16";"38,34";"67,42";"76,60";"68,15";"187,41";"138,92";"114,61";"79,34";"92,04";"113,30";"107,80";"101,38";"110,55";"123,85";"106,53";"102,45";"78,32";"90,71";"91,74";"88,34";"75,34";"86,34"
"314345 MONTEZUMA";"0";"0";"0";"0";"0";"15,64";"43,89";"54,97";"84,80";"1,16";"165,79";"168,89";"124,79";"194,92";"97,85";"129,63";"109,88";"122,22";"112,35";"69,15";"138,24";"77,53";"95,00";"110,00";"106,15";"98,85";"72,41";"74,84"
"314350 MORADA NOVA DE MINAS";"0";"0";"0";"0";"55,63";"0";"66,89";"94,49";"53,12";"10,77";"100,00";"99,12";"147,83";"112,00";"109,90";"125,29";"126,44";"111,49";"104,60";"94,19";"130,00";"95,74";"115,96";"76,60";"106,17";"95,29";"90,59";"81,19"
"314360 MORRO DA GARCA";"0";"0";"0";"0";"74,07";"63,46";"37,25";"62,90";"91,94";"47,54";"132,61";"152,50";"143,90";"120,59";"95,24";"113,51";"116,22";"102,70";"105,41";"96,30";"110,00";"150,00";"121,88";"93,75";"82,86";"113,64";"113,64";"90,82"
"314370 MORRO DO PILAR";"0";"0";"0";"0";"0";"0";"48,65";"62,71";"75,00";"37,29";"117,07";"131,43";"131,25";"192,31";"121,43";"87,10";"219,35";"132,26";"135,48";"65,91";"131,03";"136,67";"52,50";"45,00";"100,00";"46,34";"53,66";"71,69"
"314380 MUNHOZ";"0";"0";"0";"0";"0";"2,99";"70,59";"84,25";"65,89";"39,69";"388,24";"114,52";"140,00";"104,41";"117,74";"200,00";"138,64";"159,09";"165,91";"168,09";"143,18";"101,67";"165,45";"112,73";"84,38";"116,67";"109,26";"88,01"
"314390 MURIAE";"0";"0";"0";"0";"0";"12,28";"210,74";"92,73";"111,28";"34,05";"109,72";"108,26";"104,56";"112,90";"108,76";"109,60";"94,41";"102,99";"105,59";"97,12";"71,12";"65,01";"77,64";"44,00";"51,23";"79,70";"66,32";"81,62"
"314400 MUTUM";"0";"0";"0";"0";"0";"83,88";"84,77";"66,05";"42,99";"1,11";"66,60";"109,59";"113,40";"101,01";"212,46";"146,40";"89,87";"94,93";"84,80";"82,35";"133,96";"56,62";"62,15";"70,34";"86,14";"87,77";"74,73";"77,22"
"314410 MUZAMBINHO";"0";"0";"0";"0";"0";"37,77";"48,42";"84,64";"68,28";"0,64";"80,35";"95,47";"91,94";"99,61";"96,20";"88,33";"99,61";"100,00";"100,00";"143,40";"96,61";"90,04";"99,57";"98,71";"85,77";"89,35";"82,89";"73,35"
"314420 NACIP RAYDAN";"0";"0";"0";"0";"0";"67,09";"29,87";"110,64";"121,74";"44,44";"95,92";"252,17";"90,74";"317,65";"109,38";"203,70";"185,19";"125,93";"155,56";"121,05";"102,94";"79,31";"129,63";"111,11";"120,00";"100,00";"134,78";"91,30"
"314430 NANUQUE";"0";"0";"0";"0";"0,80";"586,94";"12,01";"126,15";"109,67";"15,67";"91,54";"110,44";"114,15";"105,04";"92,93";"105,75";"94,57";"80,83";"95,21";"90,78";"101,22";"93,90";"58,83";"60,60";"81,62";"76,20";"58,52";"101,00"
"314435 NAQUE";"0";"0";"0";"0";"0";"184,21";"0";"88,89";"63,64";"9,00";"126,92";"92,55";"111,11";"130,77";"87,07";"127,84";"109,28";"97,94";"110,31";"122,33";"130,43";"165,98";"104,31";"71,55";"92,16";"196,43";"120,24";"95,74"
"314437 NATALANDIA";"0";"0";"0";"0";"89,58";"48,94";"47,83";"52,38";"59,38";"29,69";"40,00";"134,78";"156,82";"121,05";"196,55";"92,50";"145,00";"117,50";"115,00";"108,70";"92,16";"143,24";"110,42";"108,33";"93,62";"85,42";"83,33";"89,43"
"314440 NATERCIA";"0";"0";"0";"0";"0";"48,21";"24,56";"3,45";"8,47";"1,69";"68,63";"89,80";"104,55";"170,00";"79,17";"97,67";"116,28";"76,74";"72,09";"138,24";"72,97";"210,71";"95,24";"145,24";"110,26";"95,24";"80,95";"69,94"
"314450 NAZARENO";"0";"0";"0";"0";"0";"39,47";"29,41";"112,50";"70,59";"10,95";"118,52";"118,26";"125,64";"126,21";"140,24";"104,35";"140,22";"128,26";"116,30";"112,90";"90,12";"91,57";"124,24";"133,33";"118,92";"91,67";"79,76";"83,93"
"314460 NEPOMUCENO";"0";"0";"0";"0";"54,13";"26,99";"8,10";"89,46";"61,32";"18,12";"89,81";"132,65";"94,28";"109,57";"102,74";"117,88";"108,61";"102,65";"86,42";"106,06";"118,32";"119,03";"90,62";"73,02";"127,49";"108,62";"74,83";"77,13"
"314465 NINHEIRA";"0";"0";"0";"0";"0";"47,40";"84,74";"63,69";"78,89";"5,52";"82,81";"118,46";"205,04";"181,58";"120,79";"179,27";"145,12";"154,88";"132,93";"134,55";"75,44";"75,45";"93,40";"89,62";"121,43";"106,38";"82,98";"86,63"
"314467 NOVA BELEM";"0";"0";"0";"0";"0";"36,57";"1,52";"18,56";"37,11";"0";"69,57";"84,00";"229,17";"84,75";"114,58";"118,18";"120,00";"105,45";"100,00";"89,09";"72,92";"155,56";"192,00";"140,00";"136,59";"94,34";"73,58";"59,71"
"314470 NOVA ERA";"0";"0";"0";"0";"0";"0";"12,93";"136,74";"46,50";"2,87";"76,62";"88,12";"90,91";"95,42";"102,05";"102,85";"90,65";"80,49";"81,71";"145,89";"148,66";"100,44";"103,36";"87,39";"85,54";"78,26";"70,87";"72,04"
"314480 NOVA LIMA";"0";"0";"0";"0";"2,95";"103,56";"47,69";"88,53";"55,46";"20,30";"61,01";"80,62";"84,77";"86,99";"74,42";"83,92";"74,69";"83,13";"78,30";"89,03";"81,17";"85,86";"81,75";"83,62";"92,31";"86,11";"62,87";"71,58"
"314490 NOVA MODICA";"0";"0";"0";"0";"0";"70,37";"107,50";"444,59";"74,32";"10,96";"92,00";"120,41";"84,13";"112,50";"76,00";"141,51";"79,25";"100,00";"90,57";"121,95";"148,00";"100,00";"97,56";"90,24";"80,43";"135,29";"94,12";"99,85"
"314500 NOVA PONTE";"0";"0";"0";"0";"81,46";"48,57";"92,98";"126,16";"50,88";"8,24";"111,72";"82,12";"120,13";"137,93";"104,67";"117,07";"104,27";"112,20";"105,49";"110,24";"83,24";"85,39";"116,27";"93,37";"103,51";"153,98";"106,82";"93,09"
"314505 NOVA PORTEIRINHA";"0";"0";"0";"0";"58,54";"26,54";"76,25";"122,15";"72,15";"18,87";"86,92";"163,64";"129,41";"107,96";"89,57";"109,73";"95,58";"73,45";"87,61";"107,62";"120,45";"100,00";"32,38";"63,81";"60,00";"91,09";"77,23";"78,83"
"314510 NOVA RESENDE";"0";"0";"0";"0";"61,02";"36,02";"141,57";"58,27";"59,30";"3,44";"96,65";"121,98";"101,82";"100,44";"105,91";"96,55";"120,69";"81,47";"94,83";"111,98";"91,86";"93,27";"120,34";"118,08";"107,25";"82,79";"62,30";"83,68"
"314520 NOVA SERRANA";"0";"0";"0";"0";"0";"82,46";"85,69";"121,98";"83,86";"23,62";"90,24";"98,51";"102,41";"104,65";"86,54";"88,42";"95,48";"108,29";"106,73";"102,75";"95,76";"24,56";"98,28";"101,36";"112,59";"108,53";"82,56";"87,77"
"314530 NOVO CRUZEIRO";"0";"0";"0";"0";"0";"53,80";"0";"115,18";"54,39";"72,08";"82,13";"90,32";"87,82";"95,62";"74,43";"127,67";"99,24";"107,82";"92,94";"95,68";"84,19";"94,06";"79,10";"76,01";"88,98";"95,19";"64,56";"77,15"
"314535 NOVO ORIENTE DE MINAS";"0";"0";"0";"0";"0";"102,65";"41,33";"101,08";"46,41";"18,48";"84,00";"89,78";"133,33";"114,65";"106,80";"132,20";"134,75";"116,10";"104,24";"79,17";"108,91";"102,33";"95,20";"100,00";"84,25";"99,13";"73,91";"82,31"
"314537 NOVORIZONTE";"0";"0";"0";"0";"0";"22,22";"170,37";"86,17";"67,37";"7,29";"128,95";"141,43";"87,50";"118,75";"117,14";"141,18";"109,80";"135,29";"101,96";"85,29";"116,42";"92,19";"18,37";"87,76";"33,33";"72,86";"18,57";"79,28"
"314540 OLARIA";"0";"0";"0";"0";"0";"48,57";"5,88";"11,43";"57,14";"45,71";"147,62";"152,94";"56,25";"136,36";"129,41";"105,88";"105,88";"123,53";"117,65";"95,24";"210,53";"175,00";"73,68";"142,11";"76,47";"163,64";"90,91";"78,02"
"314545 OLHOS-D\'AGUA";"0";"0";"0";"0";"61,36";"73,03";"55,56";"91,36";"87,80";"21,69";"72,12";"136,89";"126,73";"118,18";"107,32";"118,29";"95,12";"107,32";"91,46";"98,89";"103,57";"91,76";"129,73";"13,51";"115,71";"101,45";"78,26";"87,68"
"314550 OLIMPIO NORONHA";"0";"0";"0";"0";"0";"85,37";"104,88";"78,43";"71,15";"50,94";"90,32";"96,97";"109,52";"130,00";"132,00";"136,67";"106,67";"100,00";"110,00";"97,06";"100,00";"173,08";"112,90";"109,68";"112,50";"106,45";"77,42";"90,73"
"314560 OLIVEIRA";"0";"0";"0";"0";"0";"51,72";"73,42";"67,46";"69,58";"25,27";"88,74";"124,89";"90,28";"89,37";"87,50";"95,08";"86,42";"102,34";"86,18";"104,24";"77,07";"68,66";"74,53";"86,08";"83,53";"98,97";"82,99";"71,42"
"314570 OLIVEIRA FORTES";"0";"0";"0";"0";"0";"52,50";"0";"22,58";"96,77";"32,26";"92,31";"186,67";"138,89";"186,67";"50,00";"100,00";"130,43";"121,74";"117,39";"135,00";"181,25";"146,15";"112,50";"125,00";"63,64";"158,33";"83,33";"78,57"
"314580 ONCA DE PITANGUI";"0";"0";"0";"0";"0";"96,23";"173,08";"157,81";"95,31";"37,50";"89,66";"206,67";"160,71";"151,85";"148,65";"144,00";"212,00";"160,00";"156,00";"227,78";"132,26";"144,44";"120,83";"120,83";"117,65";"100,00";"94,29";"113,98"
"314585 ORATORIOS";"0";"0";"0";"0";"0";"59,74";"2,56";"18,60";"75,86";"0";"86,11";"132,00";"150,00";"98,48";"86,44";"79,41";"120,59";"108,82";"86,76";"126,98";"97,01";"172,00";"107,69";"95,38";"140,43";"142,31";"82,69";"79,10"
"314587 ORIZANIA";"0";"0";"0";"0";"0";"57,48";"22,66";"113,99";"37,93";"25,85";"84,48";"97,48";"54,03";"105,66";"92,98";"79,49";"78,63";"82,91";"70,09";"133,33";"92,79";"110,89";"100,00";"118,18";"67,91";"90,00";"41,67";"71,60"
"314590 OURO BRANCO";"0";"0";"0";"0";"0";"0";"96,62";"76,51";"78,49";"5,92";"78,43";"74,60";"100,00";"100,89";"83,10";"92,52";"88,36";"130,15";"117,05";"125,38";"63,79";"13,03";"60,07";"90,83";"87,21";"73,67";"79,73";"69,61"
"314600 OURO FINO";"0";"0";"0";"0";"0,23";"24,88";"15,00";"65,67";"54,74";"9,96";"96,69";"92,43";"78,75";"87,09";"78,75";"754,76";"683,33";"869,05";"752,38";"105,44";"80,98";"89,44";"80,47";"81,63";"90,00";"77,81";"62,66";"75,25"
"314610 OURO PRETO";"0";"0";"0";"0";"0";"56,79";"47,50";"80,10";"54,36";"9,81";"63,91";"114,14";"103,44";"93,66";"90,83";"87,59";"93,79";"91,15";"90,34";"100,92";"102,24";"127,94";"81,23";"76,88";"88,12";"81,62";"66,28";"71,27"
"314620 OURO VERDE DE MINAS";"0";"0";"0";"0";"0";"87,34";"32,77";"115,97";"87,93";"38,94";"94,02";"123,08";"114,88";"133,04";"97,44";"105,13";"93,16";"90,60";"92,31";"127,27";"104,72";"112,66";"162,50";"133,33";"90,10";"94,23";"77,88";"81,25"
"314625 PADRE CARVALHO";"0";"0";"0";"0";"0";"36,09";"91,91";"96,58";"89,92";"26,45";"98,98";"100,00";"137,61";"197,22";"59,22";"93,69";"89,19";"100,90";"82,88";"122,34";"115,12";"101,25";"72,73";"75,76";"90,54";"81,25";"45,00";"79,94"
"314630 PADRE PARAISO";"0";"0";"0";"0";"0";"69,85";"1,67";"29,43";"47,26";"41,54";"38,08";"86,64";"100,00";"97,10";"90,77";"112,71";"86,29";"92,98";"99,33";"100,00";"46,64";"80,28";"114,00";"98,40";"93,41";"100,80";"93,20";"65,62"
"314640 PAINEIRAS";"0";"0";"0";"0";"0";"0";"82,76";"48,15";"53,09";"47,50";"165,85";"67,86";"88,24";"150,00";"146,67";"86,84";"115,79";"139,47";"115,79";"90,91";"62,79";"109,38";"100,00";"175,00";"53,06";"188,89";"103,70";"73,23"
"314650 PAINS";"0";"0";"0";"0";"125,53";"97,93";"95,95";"95,83";"78,33";"9,17";"88,60";"129,76";"207,32";"122,39";"70,87";"106,41";"106,41";"111,54";"87,18";"138,67";"77,91";"116,13";"118,75";"85,00";"92,13";"95,40";"91,95";"91,47"
"314655 PAI PEDRO";"0";"0";"0";"0";"0";"39,10";"61,83";"169,67";"89,34";"35,77";"175,47";"146,91";"143,53";"129,11";"114,47";"106,45";"151,61";"135,48";"138,71";"101,25";"163,49";"76,06";"104,23";"77,46";"96,36";"98,39";"74,19";"91,01"
"314660 PAIVA";"0";"0";"0";"0";"0";"0";"0";"270,00";"52,38";"33,33";"72,22";"121,43";"81,25";"76,92";"64,29";"150,00";"170,00";"60,00";"190,00";"116,67";"111,11";"114,29";"76,47";"100,00";"50,00";"61,54";"53,85";"77,55"
"314670 PALMA";"0";"0";"0";"0";"0";"43,14";"34,31";"177,45";"58,42";"2,97";"89,04";"101,47";"123,40";"98,57";"138,46";"90,91";"110,91";"92,73";"96,36";"120,00";"89,58";"117,78";"86,89";"96,72";"101,79";"60,00";"72,31";"75,36"
"314675 PALMOPOLIS";"0";"0";"0";"0";"0";"0";"46,72";"107,14";"70,31";"1,54";"7,91";"84,73";"105,22";"173,97";"80,36";"112,35";"151,85";"175,31";"101,23";"92,59";"91,89";"120,34";"115,79";"98,68";"154,10";"87,80";"91,46";"75,01"
"314690 PAPAGAIOS";"0";"0";"0";"0";"0";"38,58";"0,87";"52,96";"106,16";"57,24";"93,28";"146,81";"122,18";"95,61";"75,53";"97,22";"87,96";"94,44";"76,85";"112,12";"97,69";"96,37";"101,06";"87,23";"97,01";"84,18";"76,27";"72,96"
"314700 PARACATU";"0";"0";"0";"0";"54,79";"95,25";"38,35";"80,48";"60,48";"15,87";"73,28";"93,57";"86,38";"96,08";"85,62";"123,43";"118,71";"103,72";"107,99";"117,20";"77,80";"92,97";"93,08";"90,08";"96,93";"85,58";"63,16";"77,69"
"314710 PARA DE MINAS";"0";"0";"0";"0";"0";"36,13";"81,98";"102,65";"76,19";"13,81";"94,04";"97,63";"98,75";"97,05";"90,02";"81,45";"86,83";"93,78";"89,52";"84,58";"95,26";"82,80";"29,73";"15,65";"51,34";"77,24";"61,86";"66,28"
"314720 PARAGUACU";"0";"0";"0";"0";"0";"53,97";"60,05";"93,20";"82,49";"16,33";"130,74";"109,06";"104,42";"98,14";"113,27";"106,49";"102,16";"108,66";"116,45";"112,45";"171,31";"106,58";"104,64";"197,47";"80,08";"94,07";"54,07";"86,67"
"314730 PARAISOPOLIS";"0";"0";"0";"0";"0";"57,86";"26,77";"80,19";"66,04";"12,69";"112,30";"97,70";"92,06";"102,79";"89,24";"96,33";"77,96";"84,90";"82,86";"94,42";"107,51";"86,53";"17,37";"69,49";"105,64";"84,29";"80,00";"68,94"
